"PartNumber","PipeSize","PipeSize1","PipeSize2","PSize","PSize1","PSize2","Schedule","G","G1","G2","H","H1","H2","L","M","M1","M2","Approx. Wt.","POD","PThk","PID","POD1","PThk1","PID1","POD2","PThk2","PID2"
"401-214","1-1/2""","1-1/2""","2-1/2""","DN40","DN40","DN65",40,"1+21/32 in","1+21/32 in","1+3/16 in","2+31/32 in","2+31/32 in","2+15/16 in","5+15/16 in","2+1/4 in","2+1/4 in","3+11/32 in",".58 lb","1.900 in","0.145 in","1.590 in","1.900 in","0.145 in","1.590 in","2.875 in","0.203 in","2.445 in"
"401-233","2""","1""","2""","DN50","DN25","DN50",40,"1+1/4 in","1+7/32 in","1+1/4 in","2+19/32 in","2+11/32 in","2+19/32 in","5 in","2+3/4 in","1+5/8 in","2+3/4 in",".40 lb","2.375 in","0.154 in","2.047 in","1.315 in","0.133 in","1.029 in","2.375 in","0.154 in","2.047 in"
"401-238","2""","1-1/2""","3/4""","DN50","DN40","DN20",40,"21/32 in","21/32 in","1+13/32 in","2+1/32 in","1+31/32 in","2+13/32 in","4 in","2+23/32 in","2+1/4 in","1+5/16 in",".31 lb","2.375 in","0.154 in","2.047 in","1.900 in","0.145 in","1.590 in","1.050 in","0.113 in","0.804 in"
"401-239","2""","1-1/2""","1""","DN50","DN40","DN25",40,"13/16 in","13/16 in","1+1/2 in","2+1/8 in","2+1/8 in","2+5/8 in","4+9/32 in","2+3/4 in","2+1/4 in","1+5/8 in",".38 lb","2.375 in","0.154 in","2.047 in","1.900 in","0.145 in","1.590 in","1.315 in","0.133 in","1.029 in"
"401-241","2""","1-1/2""","1-1/2""","DN50","DN40","DN40",40,"1 in","1+1/32 in","1+9/32 in","2+3/8 in","2+5/16 in","2+9/16 in","4+11/16 in","2+23/32 in","2+7/32 in","2+7/32 in",".37 lb","2.375 in","0.154 in","2.047 in","1.900 in","0.145 in","1.590 in","1.900 in","0.145 in","1.590 in"
"401-247","2""","2""","1/2""","DN50","DN50","DN15",40,"17/32 in","17/32 in","1+11/32 in","1+29/32 in","1+29/32 in","2+3/32 in","3+27/32 in","2+23/32 in","2+23/32 in","1+3/32 in",".30 lb","2.375 in","0.154 in","2.047 in","2.375 in","0.154 in","2.047 in","0.840 in","0.109 in","0.602 in"
"D401-247","2""","2""","1/2""","DN50","DN50","DN15",40,"9/16 in","9/16 in","1+7/32 in","1+15/16 in","1+15/16 in","2+1/2 in","3+7/8 in","2+23/32 in","2+23/32 in","1+1/16 in",".31 lb","2.375 in","0.154 in","2.047 in","2.375 in","0.154 in","2.047 in","0.840 in","0.109 in","0.602 in"
"401-248","2""","2""","3/4""","DN50","DN50","DN20",40,"21/32 in","21/32 in","1+1/2 in","2+1/32 in","2+1/32 in","2+1/16 in","4+1/16 in","2+3/4 in","2+3/4 in","1+11/32 in",".32 lb","2.375 in","0.154 in","2.047 in","2.375 in","0.154 in","2.047 in","1.050 in","0.113 in","0.804 in"
"401-249","2""","2""","1""","DN50","DN50","DN25",40,"13/16 in","13/16 in","1+3/8 in","2+3/16 in","2+3/16 in","2+1/2 in","4+3/8 in","2+23/32 in","2+23/32 in","1+5/8 in",".36 lb","2.375 in","0.154 in","2.047 in","2.375 in","0.154 in","2.047 in","1.315 in","0.133 in","1.029 in"
"401-250","2""","2""","1-1/4""","DN50","DN50","DN32",40,"1 in","1 in","1+3/8 in","2+3/8 in","2+3/8 in","2+5/8 in","4+23/32 in","2+23/32 in","2+23/32 in","1+31/32 in",".39 lb","2.375 in","0.154 in","2.047 in","2.375 in","0.154 in","2.047 in","1.660 in","0.140 in","1.360 in"
"401-251","2""","2""","1-1/2""","DN50","DN50","DN40",40,"1+1/16 in","1+1/16 in","1+5/16 in","2+3/8 in","2+3/8 in","2+9/16 in","4+3/4 in","2+23/32 in","2+23/32 in","2+1/4 in",".42 lb","2.375 in","0.154 in","2.047 in","2.375 in","0.154 in","2.047 in","1.900 in","0.145 in","1.590 in"
"401-253","2""","2""","3""","DN50","DN50","DN80",40,"2+7/8 in","2+7/8 in","1+13/16 in","4+1/4 in","4+1/4 in","3+13/16 in","8+1/2 in","4 in","3+15/16 in","4 in","2.64 lb","2.375 in","0.154 in","2.047 in","2.375 in","0.154 in","2.047 in","3.500 in","0.216 in","3.042 in"
"401-254","2""","2""","4""","DN50","DN50","DN100",40,"3+13/32 in","3+13/32 in","2+3/8 in","4+25/32 in","4+25/32 in","4+3/8 in","9+9/16 in","5+1/16 in","5+1/16 in","5+1/16 in","3.89 lb","2.375 in","0.154 in","2.047 in","2.375 in","0.154 in","2.047 in","4.500 in","0.237 in","3.998 in"
"401-287","2-1/2""","2-1/2""","1/2""","DN65","DN65","DN15",40,"25/32 in","25/32 in","1+15/32 in","2+17/32 in","2+17/32 in","2+7/32 in","5+1/16 in","3+5/16 in","3+5/16 in","1+1/16 in",".56 lb","2.875 in","0.203 in","2.445 in","2.875 in","0.203 in","2.445 in","0.840 in","0.109 in","0.602 in"
"401-288","2-1/2""","2-1/2""","3/4""","DN65","DN65","DN20",40,"7/8 in","7/8 in","1+9/16 in","2+5/8 in","2+5/8 in","2+1/2 in","5+9/32 in","3+5/16 in","3+5/16 in","1+5/16 in",".60 lb","2.875 in","0.203 in","2.445 in","2.875 in","0.203 in","2.445 in","1.050 in","0.113 in","0.804 in"
"401-289","2-1/2""","2-1/2""","1""","DN65","DN65","DN25",40,"13/16 in","13/16 in","1+17/32 in","2+13/16 in","2+13/16 in","2+21/32 in","5+5/8 in","3+5/16 in","3+5/16 in","1+5/8 in",".67 lb","2.875 in","0.203 in","2.445 in","2.875 in","0.203 in","2.445 in","1.315 in","0.133 in","1.029 in"
"401-290","2-1/2""","2-1/2""","1-1/4""","DN65","DN65","DN32",40,"1+7/32 in","1+7/32 in","1+21/32 in","2+31/32 in","2+31/32 in","2+29/32 in","5+31/32 in","3+11/32 in","3+11/32 in","2+1/32 in",".77 lb","2.875 in","0.203 in","2.445 in","2.875 in","0.203 in","2.445 in","1.660 in","0.140 in","1.360 in"
"401-291","2-1/2""","2-1/2""","1-1/2""","DN65","DN65","DN40",40,"1+3/16 in","1+3/16 in","1+5/8 in","2+31/32 in","2+31/32 in","2+15/16 in","5+15/16 in","3+11/32 in","3+11/32 in","2+1/4 in",".76 lb","2.875 in","0.203 in","2.445 in","2.875 in","0.203 in","2.445 in","1.900 in","0.145 in","1.590 in"
"401-292","2-1/2""","2-1/2""","2""","DN65","DN65","DN50",40,"1+13/32 in","1+13/32 in","1+21/32 in","3+3/16 in","3+3/16 in","3+1/32 in","6+3/8 in","3+5/16 in","3+5/16 in","2+3/4 in",".78 lb","2.875 in","0.203 in","2.445 in","2.875 in","0.203 in","2.445 in","2.375 in","0.154 in","2.047 in"
"401-293","2-1/2""","2-1/2""","3""","DN65","DN65","DN80",40,"2+1/4 in","2+1/4 in","1+31/32 in","4+1/4 in","4+1/4 in","3+13/16 in","8+15/32 in","4 in","4 in","4 in","2.37 lb","2.875 in","0.203 in","2.445 in","2.875 in","0.203 in","2.445 in","3.500 in","0.216 in","3.042 in"
"401-294","2-1/2""","2-1/2""","4""","DN65","DN65","DN100",40,"2+3/4 in","2+3/4 in","2+3/8 in","4+3/4 in","4+3/4 in","4+3/8 in","9+1/2 in","5+1/16 in","5+1/16 in","5 in","4.03 lb","2.875 in","0.203 in","2.445 in","2.875 in","0.203 in","2.445 in","4.500 in","0.237 in","3.998 in"
"401-333","3""","3""","1/2""","DN80","DN80","DN15",40,"11/16 in","11/16 in","1+13/16 in","2+9/16 in","2+9/16 in","2+17/32 in","5+1/32 in","3+31/32 in","3+31/32 in","1+3/32 in",".76 lb","3.500 in","0.216 in","3.042 in","3.500 in","0.216 in","3.042 in","0.840 in","0.109 in","0.602 in"
"401-334","3""","3""","3/4""","DN80","DN80","DN20",40,"3/4 in","3/4 in","2 in","2+21/32 in","2+21/32 in","3 in","5+9/32 in","4 in","4 in","1+11/32 in",".84 lb","3.500 in","0.216 in","3.042 in","3.500 in","0.216 in","3.042 in","1.050 in","0.113 in","0.804 in"
"401-335","3""","3""","1""","DN80","DN80","DN25",40,"29/32 in","29/32 in","1+25/32 in","2+51/64 in","2+51/64 in","2+29/32 in","5+19/32 in","3+31/32 in","3+31/32 in","1+19/32 in",".85 lb","3.500 in","0.216 in","3.042 in","3.500 in","0.216 in","3.042 in","1.315 in","0.133 in","1.029 in"
"401-336","3""","3""","1-1/4""","DN80","DN80","DN32",40,"1+7/32 in","1+7/32 in","1+31/32 in","2+31/32 in","2+31/32 in","3+7/32 in","5+15/16 in","4 in","4 in","2 in",".92 lb","3.500 in","0.216 in","3.042 in","3.500 in","0.216 in","3.042 in","1.660 in","0.140 in","1.360 in"
"401-337","3""","3""","1-1/2""","DN80","DN80","DN40",40,"1+7/32 in","1+7/32 in","1+13/16 in","3+3/32 in","3+3/32 in","3+1/8 in","6+3/16 in","4+1/16 in","4+1/16 in","2+7/32 in","1.00 lb","3.500 in","0.216 in","3.042 in","3.500 in","0.216 in","3.042 in","1.900 in","0.145 in","1.590 in"
"401-338","3""","3""","2""","DN80","DN80","DN50",40,"1+7/16 in","1+7/16 in","1+13/16 in","3+11/32 in","3+11/32 in","3+3/16 in","6+11/16 in","3+31/32 in","3+31/32 in","2+23/32 in","1.05 lb","3.500 in","0.216 in","3.042 in","3.500 in","0.216 in","3.042 in","2.375 in","0.154 in","2.047 in"
"401-339","3""","3""","2-1/2""","DN80","DN80","DN65",40,"1+3/4 in","1+3/4 in","1+31/32 in","3+5/8 in","3+5/8 in","3+11/16 in","7+1/4 in","4+3/16 in","4+3/16 in","3+17/32 in","1.91 lb","3.500 in","0.216 in","3.042 in","3.500 in","0.216 in","3.042 in","2.875 in","0.203 in","2.445 in"
"401-342","3""","3""","4""","DN80","DN80","DN100",40,"2+1/2 in","2+1/2 in","2+1/16 in","4+1/2 in","4+1/2 in","4+1/16 in","9 in","3+31/32 in","3+31/32 in","5 in","1.87 lb","3.500 in","0.216 in","3.042 in","3.500 in","0.216 in","3.042 in","4.500 in","0.237 in","3.998 in"
"401-344","3""","3""","6""","DN80","DN80","DN150",40,"5+1/2 in","5+1/2 in","4 in","7+1/2 in","7+1/2 in","7 in","15 in","7+1/4 in","7+1/4 in","7+1/4 in","11.75 lb","3.500 in","0.216 in","3.042 in","3.500 in","0.216 in","3.042 in","6.625 in","0.280 in","6.031 in"
"401-416","4""","4""","3/4""","DN100","DN100","DN20",40,"25/32 in","25/32 in","2+9/32 in","2+13/16 in","2+13/16 in","3+9/32 in","5+5/8 in","5+3/32 in","5+3/32 in","1+5/16 in","1.24 lb","4.500 in","0.237 in","3.998 in","4.500 in","0.237 in","3.998 in","1.050 in","0.113 in","0.804 in"
"401-417","4""","4""","1""","DN100","DN100","DN25",40,"13/16 in","13/16 in","2+9/16 in","2+13/16 in","2+13/16 in","3+5/8 in","5+19/32 in","5+1/32 in","5+1/32 in","1+19/32 in","1.19 lb","4.500 in","0.237 in","3.998 in","4.500 in","0.237 in","3.998 in","1.315 in","0.133 in","1.029 in"
"401-418","4""","4""","1-1/4""","DN100","DN100","DN32",40,"1+1/16 in","1+1/16 in","2+9/32 in","3+3/32 in","3+3/32 in","3+17/32 in","6+3/16 in","5 in","5 in","1+31/32 in","1.33 lb","4.500 in","0.237 in","3.998 in","4.500 in","0.237 in","3.998 in","1.660 in","0.140 in","1.360 in"
"401-419","4""","4""","1-1/2""","DN100","DN100","DN40",40,"1+3/16 in","1+3/16 in","2+17/32 in","3+3/16 in","3+3/16 in","3+27/32 in","6+13/32 in","5+1/16 in","5+1/16 in","2+1/4 in","1.40 lb","4.500 in","0.237 in","3.998 in","4.500 in","0.237 in","3.998 in","1.900 in","0.145 in","1.590 in"
"401-420","4""","4""","2""","DN100","DN100","DN50",40,"1+13/32 in","1+13/32 in","2+3/4 in","3+7/16 in","3+7/16 in","4+5/32 in","6+7/8 in","5+1/32 in","5+1/32 in","2+3/4 in","1.49 lb","4.500 in","0.237 in","3.998 in","4.500 in","0.237 in","3.998 in","2.375 in","0.154 in","2.047 in"
"401-421","4""","4""","2-1/2""","DN100","DN100","DN65",40,"1+31/32 in","2+1/32 in","3+3/32 in","4+3/32 in","4+3/32 in","4+27/32 in","8+5/32 in","5+5/32 in","5+5/32 in","4+1/16 in","2.67 lb","4.500 in","0.237 in","3.998 in","4.500 in","0.237 in","3.998 in","2.875 in","0.203 in","2.445 in"
"401-422","4""","4""","3""","DN100","DN100","DN80",40,"2+1/32 in","2+1/32 in","2+5/8 in","4+3/32 in","4+3/32 in","4+1/2 in","8+5/32 in","5+5/32 in","5+5/32 in","4+1/16 in","2.31 lb","4.500 in","0.237 in","3.998 in","4.500 in","0.237 in","3.998 in","3.500 in","0.216 in","3.042 in"
"401-426","4""","4""","6""","DN100","DN100","DN150",40,"5+1/2 in","5+1/2 in","3+1/2 in","7+1/2 in","7+1/2 in","7 in","14+15/16 in","6+7/8 in","6+7/8 in","7+1/2 in","10.38 lb","4.500 in","0.237 in","3.998 in","4.500 in","0.237 in","3.998 in","6.625 in","0.280 in","6.031 in"
"401-428","4""","4""","8""","DN100","DN100","DN200",40,"6+3/4 in","6+3/4 in","4+1/2 in","8+3/4 in","8+3/4 in","8+1/2 in","17+1/2 in","9+1/4 in","9+5/8 in","9+5/8 in","18.30 lb","4.500 in","0.237 in","3.998 in","4.500 in","0.237 in","3.998 in","8.625 in","0.322 in","7.942 in"
"401-486","5""","5""","2""","DN125","DN125","DN50",40,"1+11/32 in","1+11/32 in","3+1/32 in","4+11/32 in","4+11/32 in","4+13/32 in","8+23/32 in","6+1/8 in","6+1/8 in","2+23/32 in","2.44 lb","5.563 in","0.258 in","5.016 in","5.563 in","0.258 in","5.016 in","2.375 in","0.154 in","2.047 in"
"401-487","5""","5""","2-1/2""","DN125","DN125","DN65",40,"2 in","2 in","3+5/8 in","5+1/32 in","5+1/32 in","5+3/8 in","10+1/16 in","6+5/32 in","6+5/32 in","4+1/32 in","3.63 lb","5.563 in","0.258 in","5.016 in","5.563 in","0.258 in","5.016 in","2.875 in","0.203 in","2.445 in"
"401-488","5""","5""","3""","DN125","DN125","DN80",40,"2 in","2 in","3+3/16 in","5+1/32 in","5+1/32 in","5+1/16 in","10+1/16 in","6+5/32 in","6+5/32 in","4+1/32 in","3.23 lb","5.563 in","0.258 in","5.016 in","5.563 in","0.258 in","5.016 in","3.500 in","0.216 in","3.042 in"
"401-490","5""","5""","4""","DN125","DN125","DN100",40,"2+1/2 in","2+1/2 in","3+5/32 in","5+9/16 in","5+9/16 in","5+3/16 in","11+1/8 in","6+5/32 in","6+5/32 in","5+1/32 in","3.61 lb","5.563 in","0.258 in","5.016 in","5.563 in","0.258 in","5.016 in","4.500 in","0.237 in","3.998 in"
"401-526","6""","6""","1-1/4""","DN150","DN150","DN32",40,"1+3/8 in","1+3/8 in","4+1/16 in","4+27/32 in","4+27/32 in","5+5/16 in","9+11/16 in","7+1/4 in","7+1/4 in","2+3/4 in","3.61 lb","6.625 in","0.280 in","6.031 in","6.625 in","0.280 in","6.031 in","1.660 in","0.140 in","1.360 in"
"401-527","6""","6""","1-1/2""","DN150","DN150","DN40",40,"1+3/8 in","1+3/8 in","3+7/8 in","4+27/32 in","4+27/32 in","5+3/16 in","9+11/16 in","7+1/4 in","7+1/4 in","2+11/16 in","3.60 lb","6.625 in","0.280 in","6.031 in","6.625 in","0.280 in","6.031 in","1.900 in","0.145 in","1.590 in"
"401-528","6""","6""","2""","DN150","DN150","DN50",40,"1+13/32 in","1+13/32 in","3+5/8 in","4+13/32 in","4+13/32 in","4+31/32 in","8+27/32 in","7+1/4 in","7+1/4 in","2+3/4 in","3.28 lb","6.625 in","0.280 in","6.031 in","6.625 in","0.280 in","6.031 in","2.375 in","0.154 in","2.047 in"
"401-529","6""","6""","2-1/2""","DN150","DN150","DN65",40,"1+31/32 in","1+31/32 in","4+1/8 in","4+31/32 in","4+31/32 in","5+7/8 in","9+15/16 in","7+1/4 in","7+1/4 in","4+1/32 in","4.28 lb","6.625 in","0.280 in","6.031 in","6.625 in","0.280 in","6.031 in","2.875 in","0.203 in","2.445 in"
"401-530","6""","6""","3""","DN150","DN150","DN80",40,"1+31/32 in","1+31/32 in","3+5/8 in","4+31/32 in","4+31/32 in","5+1/2 in","10 in","7+1/4 in","7+1/4 in","4 in","3.90 lb","6.625 in","0.280 in","6.031 in","6.625 in","0.280 in","6.031 in","3.500 in","0.216 in","3.042 in"
"401-532","6""","6""","4""","DN150","DN150","DN100",40,"2+17/32 in","2+17/32 in","3+5/8 in","5+9/16 in","5+9/16 in","5+5/8 in","11+1/8 in","7+1/4 in","7+1/4 in","5 in","4.38 lb","6.625 in","0.280 in","6.031 in","6.625 in","0.280 in","6.031 in","4.500 in","0.237 in","3.998 in"
"401-533","6""","6""","5""","DN150","DN150","DN125",40,"3+1/2 in","3+1/2 in","4+1/2 in","7 in","7 in","7+1/2 in","14 in","7+3/16 in","7+3/8 in","7+3/16 in","8.46 lb","6.625 in","0.280 in","6.031 in","6.625 in","0.280 in","6.031 in","5.563 in","0.258 in","5.016 in"
"401-535","6""","6""","8""","DN150","DN150","DN200",40,"5+29/32 in","5+29/32 in","4+15/32 in","8+15/16 in","8+15/16 in","8+1/2 in","17+7/8 in","9+5/8 in","9+5/8 in","9+13/32 in","19.35 lb","6.625 in","0.280 in","6.031 in","6.625 in","0.280 in","6.031 in","8.625 in","0.322 in","7.942 in"
"401-537","6""","6""","10""","DN150","DN150","DN250",40,"8 in","8 in","5+13/16 in","11+3/8 in","11+3/8 in","10+13/16 in","22+3/4 in","11+1/2 in","11+1/2 in","11+9/16 in","38.30 lb","6.625 in","0.280 in","6.031 in","6.625 in","0.280 in","6.031 in","10.750 in","0.365 in","9.976 in"
"401-578","8""","8""","2""","DN200","DN200","DN50",40,"2 in","2 in","5+7/8 in","6 in","6 in","7 in","12 in","9+1/4 in","9+1/4 in","4 in","11.71 lb","8.625 in","0.322 in","7.942 in","8.625 in","0.322 in","7.942 in","2.375 in","0.154 in","2.047 in"
"401-579","8""","8""","2-1/2""","DN200","DN200","DN65",40,"2 in","2 in","5+5/16 in","6 in","6 in","7+5/16 in","12 in","9+5/16 in","9+5/16 in","4 in","6.62 lb","8.625 in","0.322 in","7.942 in","8.625 in","0.322 in","7.942 in","2.875 in","0.203 in","2.445 in"
"401-580","8""","8""","3""","DN200","DN200","DN80",40,"1+31/32 in","1+31/32 in","4+3/4 in","6+1/32 in","6+1/32 in","6+3/4 in","12+1/16 in","9+11/32 in","9+11/32 in","4 in","6.44 lb","8.625 in","0.322 in","7.942 in","8.625 in","0.322 in","7.942 in","3.500 in","0.216 in","3.042 in"
"401-582","8""","8""","4""","DN200","DN200","DN100",40,"2+17/32 in","2+17/32 in","4+11/16 in","6+17/32 in","6+17/32 in","6+11/16 in","13+1/16 in","9+9/32 in","9+9/32 in","4+31/32 in","7.02 lb","8.625 in","0.322 in","7.942 in","8.625 in","0.322 in","7.942 in","4.500 in","0.237 in","3.998 in"
"401-583","8""","8""","5""","DN200","DN200","DN125",40,"3+21/32 in","3+21/32 in","5+1/4 in","7+21/32 in","7+21/32 in","8+1/4 in","15+5/16 in","9+5/16 in","9+5/16 in","7+1/4 in","10.60 lb","8.625 in","0.322 in","7.942 in","8.625 in","0.322 in","7.942 in","5.563 in","0.258 in","5.016 in"
"401-585","8""","8""","6""","DN200","DN200","DN150",40,"3+5/8 in","3+5/8 in","4+3/4 in","7+21/32 in","7+21/32 in","7+25/32 in","15+11/32 in","9+11/32 in","9+11/32 in","7+1/4 in","8.90 lb","8.625 in","0.322 in","7.942 in","8.625 in","0.322 in","7.942 in","6.625 in","0.280 in","6.031 in"
"401-589","8""","8""","10""","DN200","DN200","DN250",40,"6+23/32 in","6+23/32 in","5+11/16 in","11+7/32 in","11+7/32 in","10+1/2 in","22+7/16 in","11+9/16 in","11+9/16 in","11+9/16 in","34.76 lb","8.625 in","0.322 in","7.942 in","8.625 in","0.322 in","7.942 in","10.750 in","0.365 in","9.976 in"
"401-621F","10""","10""","2""","DN250","DN250","DN50",40,"4+7/8 in","4+7/8 in","7+1/4 in","10+1/8 in","10+1/8 in","9 in","20+1/4 in","11+1/2 in","11+1/2 in","2+11/16 in","19.60 lb","10.750 in","0.365 in","9.976 in","10.750 in","0.365 in","9.976 in","2.375 in","0.154 in","2.047 in"
"401-622F","10""","10""","2-1/2""","DN250","DN250","DN65",40,"5+5/8 in","5+5/8 in","7+3/4 in","10+7/8 in","10+7/8 in","9+3/4 in","21+3/4 in","11+1/2 in","11+1/2 in","3+1/4 in","20.26 lb","10.750 in","0.365 in","9.976 in","10.750 in","0.365 in","9.976 in","2.875 in","0.203 in","2.445 in"
"401-623","10""","10""","3""","DN250","DN250","DN80",40,"3+13/16 in","3+13/16 in","7 in","9+3/8 in","9+3/8 in","9 in","18+3/4 in","12 in","12 in","7+1/2 in","25.54 lb","10.750 in","0.365 in","9.976 in","10.750 in","0.365 in","9.976 in","3.500 in","0.216 in","3.042 in"
"401-624","10""","10""","4""","DN250","DN250","DN100",40,"3+27/32 in","3+27/32 in","7+3/8 in","9+11/32 in","9+11/32 in","9+3/8 in","18+11/16 in","12 in","12 in","7+1/2 in","25.63 lb","10.750 in","0.365 in","9.976 in","10.750 in","0.365 in","9.976 in","4.500 in","0.237 in","3.998 in"
"401-626F","10""","10""","6""","DN250","DN250","DN150",40,"6+7/8 in","6+7/8 in","8+3/8 in","12+1/8 in","12+1/8 in","11+5/8 in","24+1/4 in","11+1/2 in","11+1/2 in","7+3/16 in","26.48 lb","10.750 in","0.365 in","9.976 in","10.750 in","0.365 in","9.976 in","6.625 in","0.280 in","6.031 in"
"401-628","10""","10""","8""","DN250","DN250","DN200",40,"5+3/4 in","5+3/4 in","7+3/16 in","10+7/8 in","10+7/8 in","11+1/4 in","21+11/16 in","11+11/16 in","11+1/2 in","11+11/16 in","29.85 lb","10.750 in","0.365 in","9.976 in","10.750 in","0.365 in","9.976 in","8.625 in","0.322 in","7.942 in"
"401-661F","12""","12""","2""","DN300","DN300","DN50",40,"5+1/4 in","5+1/4 in","8+1/4 in","11+1/2 in","11+1/2 in","10 in","23 in","13+9/16 in","13+1/2 in","2+11/16 in","25.00 lb","12.750 in","0.406 in","11.889 in","12.750 in","0.406 in","11.889 in","2.375 in","0.154 in","2.047 in"
"401-662F","12""","12""","2-1/2""","DN300","DN300","DN65",40,"5+3/4 in","5+3/4 in","8+3/4 in","12 in","12 in","10+3/4 in","24 in","13+9/16 in","13+9/16 in","3+1/4 in","28.61 lb","12.750 in","0.406 in","11.889 in","12.750 in","0.406 in","11.889 in","2.875 in","0.203 in","2.445 in"
"401-663F","12""","12""","3""","DN300","DN300","DN80",40,"5+3/4 in","5+3/4 in","9 in","12 in","12 in","11+1/4 in","24 in","13+9/16 in","13+9/16 in","3+15/16 in","31.41 lb","12.750 in","0.406 in","11.889 in","12.750 in","0.406 in","11.889 in","3.500 in","0.216 in","3.042 in"
"401-664F","12""","12""","4""","DN300","DN300","DN100",40,"7 in","7 in","9+5/16 in","13+1/4 in","13+1/4 in","11+9/16 in","26+1/2 in","13+9/16 in","13+9/16 in","5 in","32.40 lb","12.750 in","0.406 in","11.889 in","12.750 in","0.406 in","11.889 in","4.500 in","0.237 in","3.998 in"
"401-666","12""","12""","6""","DN300","DN300","DN150",40,"4+7/8 in","4+7/8 in","8+5/16 in","11+7/16 in","11+7/16 in","11+3/4 in","22+13/16 in","14+1/4 in","14+1/4 in","9+3/4 in","44.02 lb","12.750 in","0.406 in","11.889 in","12.750 in","0.406 in","11.889 in","6.625 in","0.280 in","6.031 in"
"401-668","12""","12""","8""","DN300","DN300","DN200",40,"4+27/32 in","4+27/32 in","7+1/8 in","11+13/32 in","11+13/32 in","11+1/8 in","22+13/16 in","14+1/4 in","14+1/4 in","9+3/4 in","40.00 lb","12.750 in","0.406 in","11.889 in","12.750 in","0.406 in","11.889 in","8.625 in","0.322 in","7.942 in"
"401-670","12""","12""","10""","DN300","DN300","DN250",40,"6+13/16 in","6+13/16 in","7+3/8 in","12+13/16 in","12+13/16 in","13+1/4 in","25+5/8 in","13+3/4 in","13+3/4 in","13+3/4 in","50.00 lb","12.750 in","0.406 in","11.889 in","12.750 in","0.406 in","11.889 in","10.750 in","0.365 in","9.976 in"
"401-670F","12""","12""","10""","DN300","DN300","DN250",40,"10+1/4 in","10+1/4 in","10+3/8 in","16+1/2 in","16+1/2 in","15+5/8 in","33 in","13+9/16 in","13+9/16 in","11+1/2 in","50.00 lb","12.750 in","0.406 in","11.889 in","12.750 in","0.406 in","11.889 in","10.750 in","0.365 in","9.976 in"
"S401-249","2""","2""","1""","DN50","DN50","DN25",40,"11/16 in","11/16 in","2+7/32 in","2+3/32 in","1+11/32 in","1+1/4 in","3+7/16 in","2+23/32 in","2+23/32 in","1+5/8 in",".28 lb","2.375 in","0.154 in","2.047 in","2.375 in","0.154 in","2.047 in","1.315 in","0.133 in","1.029 in"
"S401-251","2""","2""","1-1/2""","DN50","DN50","DN40",40,"1 in","31/32 in","1+1/4 in","2+3/8 in","1+5/8 in","2+3/8 in","4 in","2+23/32 in","2+23/32 in","2+7/32 in",".34 lb","2.375 in","0.154 in","2.047 in","2.375 in","0.154 in","2.047 in","1.900 in","0.145 in","1.590 in"